id,country,indicatorType,indicator,unit,year,value
46,algeria,economic indicators,GDP,metric tons,2014,213.52
47,algeria,economic indicators,GDP based on PPP,US $B,2014,552.99
48,algeria,economic indicators,Real GDP growth,Int. $B,2014,3.8
49,algeria,economic indicators,GDP per capita,%,2014,5459
50,algeria,economic indicators,GDP per capita based on PPP,US $,2014,14138
51,algeria,economic indicators,Population,Int. $B,2014,38.93
52,algeria,economic indicators,Land Area,million,2014,2381741
53,algeria,economic indicators,Human Development Index,sq.km,2014,0.74
54,algeria,economic indicators,Inflation rate,,2014,2.9
55,algeria,economic indicators,Unemployment rate,%,2014,10.6
56,algeria,economic indicators,Current account balance,%,2014,-9.4
57,algeria,economic indicators,Government Gross Debt (share of GDP),US $B,2014,8
58,algeria,economic indicators,International Reserves,%,2014,186.4
59,algeria,economic indicators,CO2 emissions intensity,US $B,2014,268.36
60,algeria,economic indicators,CO2 emissions per capita,kg/$1000 of GDP,2014,3.64
61,algeria,economic indicators,GDP,metric tons,2013,209.7
62,algeria,economic indicators,GDP based on PPP,US $B,2013,523.38
63,algeria,economic indicators,Real GDP growth,Int. $B,2013,2.8
64,algeria,economic indicators,GDP per capita,%,2013,5476
65,algeria,economic indicators,GDP per capita based on PPP,US $,2013,13666
66,algeria,economic indicators,Population,Int. $B,2013,38.19
67,algeria,economic indicators,Land Area,million,2013,2381740
68,algeria,economic indicators,Human Development Index,sq.km,2013,0.72
69,algeria,economic indicators,Inflation rate,,2013,3.3
70,algeria,economic indicators,Unemployment rate,%,2013,9.8
71,algeria,economic indicators,Current account balance,%,2013,0.8
72,algeria,economic indicators,Government Gross Debt (share of GDP),US $B,2013,7.7
73,algeria,economic indicators,International Reserves,%,2013,201.4
74,algeria,economic indicators,CO2 emissions intensity,US $B,2013,258.53
75,algeria,economic indicators,CO2 emissions per capita,kg/$1000 of GDP,2013,3.44
76,algeria,economic indicators,GDP,metric tons,2012,209.01
77,algeria,economic indicators,GDP based on PPP,US $B,2012,501.03
78,algeria,economic indicators,Real GDP growth,Int. $B,2012,3.3
79,algeria,economic indicators,GDP per capita,%,2012,5574
80,algeria,economic indicators,GDP per capita based on PPP,US $,2012,13363
81,algeria,economic indicators,Population,Int. $B,2012,37.44
82,algeria,economic indicators,Land Area,million,2012,2381740
83,algeria,economic indicators,Human Development Index,sq.km,2012,0.72
84,algeria,economic indicators,Inflation rate,,2012,8.9
85,algeria,economic indicators,Unemployment rate,%,2012,11
86,algeria,economic indicators,Current account balance,%,2012,12.3
87,algeria,economic indicators,Government Gross Debt (share of GDP),US $B,2012,9.5
88,algeria,economic indicators,International Reserves,%,2012,200.6
89,algeria,economic indicators,CO2 emissions intensity,US $B,2012,259.52
90,algeria,economic indicators,CO2 emissions per capita,kg/$1000 of GDP,2012,3.43
91,algeria,economic indicators,GDP,metric tons,2011,199.38
92,algeria,economic indicators,GDP based on PPP,US $B,2011,476.25
93,algeria,economic indicators,Real GDP growth,Int. $B,2011,2.8
94,algeria,economic indicators,GDP per capita,%,2011,5431
95,algeria,economic indicators,GDP per capita based on PPP,US $,2011,12971
96,algeria,economic indicators,Population,Int. $B,2011,36.72
97,algeria,economic indicators,Land Area,million,2011,2381740
98,algeria,economic indicators,Human Development Index,sq.km,2011,0.72
99,algeria,economic indicators,Inflation rate,,2011,4.5
100,algeria,economic indicators,Unemployment rate,%,2011,10
101,algeria,economic indicators,Current account balance,%,2011,19.8
102,algeria,economic indicators,Government Gross Debt (share of GDP),US $B,2011,9.5
103,algeria,economic indicators,International Reserves,%,2011,191.4
104,algeria,economic indicators,CO2 emissions intensity,US $B,2011,251.46
105,algeria,economic indicators,CO2 emissions per capita,kg/$1000 of GDP,2011,3.28
106,algeria,economic indicators,GDP,metric tons,2010,161.21
107,algeria,economic indicators,GDP based on PPP,US $B,2010,453.8
108,algeria,economic indicators,Real GDP growth,Int. $B,2010,3.6
109,algeria,economic indicators,GDP per capita,%,2010,4481
110,algeria,economic indicators,GDP per capita based on PPP,US $,2010,12613
111,algeria,economic indicators,Population,Int. $B,2010,36.04
112,algeria,economic indicators,Land Area,million,2010,2381740
113,algeria,economic indicators,Human Development Index,sq.km,2010,0.71
114,algeria,economic indicators,Inflation rate,,2010,3.9
115,algeria,economic indicators,Unemployment rate,%,2010,10
116,algeria,economic indicators,Current account balance,%,2010,12.2
117,algeria,economic indicators,Government Gross Debt (share of GDP),US $B,2010,10.9
118,algeria,economic indicators,International Reserves,%,2010,170.5
119,algeria,economic indicators,CO2 emissions intensity,US $B,2010,246.88
120,algeria,economic indicators,CO2 emissions per capita,kg/$1000 of GDP,2010,3.18
121,algeria,energy indicators,Gross energy production,metric tons,2017,
122,algeria,energy indicators,Gross energy production - Crude Oil and Oil Products,ktoe,2017,
123,algeria,energy indicators,Gross energy production - Natural Gas,%,2017,
124,algeria,energy indicators,Gross energy production - Coal,%,2017,
125,algeria,energy indicators,Gross energy production - Nuclear,%,2017,
126,algeria,energy indicators,Gross energy production - Renewables,%,2017,
127,algeria,energy indicators,Gross energy production - Solar,%,2017,
128,algeria,energy indicators,Gross energy production - Wind,%,2017,
129,algeria,energy indicators,Gross energy production - Hydropower,%,2017,
130,algeria,energy indicators,Gross energy production - Other,%,2017,
131,algeria,energy indicators,Total energy export,%,2017,
132,algeria,energy indicators,Total energy export - Crude Oil and Oil Products,ktoe,2017,
133,algeria,energy indicators,Total energy export - Natural Gas,%,2017,
134,algeria,energy indicators,Total energy export - Coal,%,2017,
135,algeria,energy indicators,Total energy export - Electricity,%,2017,
136,algeria,energy indicators,Total energy import,%,2017,
137,algeria,energy indicators,Total energy import- Crude Oil and Oil Products,ktoe,2017,
138,algeria,energy indicators,Total energy import - Natural Gas,%,2017,
139,algeria,energy indicators,Total energy import - Coal,%,2017,
140,algeria,energy indicators,Total energy import - Electricity,%,2017,
141,algeria,energy indicators,Total primary energy supply (TPES),%,2017,
142,algeria,energy indicators,Primary energy supply per capita,ktoe,2017,
143,algeria,energy indicators,Energy productivity,toe,2017,
144,algeria,energy indicators,Energy subsidies,$/kgoe,2017,
145,algeria,energy indicators,Final energy consumption,$B,2017,
146,algeria,energy indicators,Final energy consumption - Crude Oil and Oil Products,ktoe,2017,
147,algeria,energy indicators,Final energy consumption - Natural Gas,%,2017,
148,algeria,energy indicators,Final energy consumption - Coal,%,2017,
149,algeria,energy indicators,Final energy consumption - Electricity,%,2017,
150,algeria,energy indicators,Final energy consumption - Other,%,2017,
151,algeria,energy indicators,Energy use per capita,%,2017,
152,algeria,energy indicators,Energy use by Sector - Industry,toe,2017,
153,algeria,energy indicators,Energy use by Sector - Transport,%,2017,
154,algeria,energy indicators,Energy use by Sector - Residential,%,2017,
155,algeria,energy indicators,Energy use by Sector - Tertiary,%,2017,
156,algeria,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2017,
157,algeria,energy indicators,Energy use by Sector - Other,%,2017,
158,algeria,energy indicators,Gross energy production,%,2016,
159,algeria,energy indicators,Gross energy production - Crude Oil and Oil Products,ktoe,2016,
160,algeria,energy indicators,Gross energy production - Natural Gas,%,2016,
161,algeria,energy indicators,Gross energy production - Coal,%,2016,
162,algeria,energy indicators,Gross energy production - Nuclear,%,2016,
163,algeria,energy indicators,Gross energy production - Renewables,%,2016,
164,algeria,energy indicators,Gross energy production - Solar,%,2016,
165,algeria,energy indicators,Gross energy production - Wind,%,2016,
166,algeria,energy indicators,Gross energy production - Hydropower,%,2016,
167,algeria,energy indicators,Gross energy production - Other,%,2016,
168,algeria,energy indicators,Total energy export,%,2016,
169,algeria,energy indicators,Total energy export - Crude Oil and Oil Products,ktoe,2016,
170,algeria,energy indicators,Total energy export - Natural Gas,%,2016,
171,algeria,energy indicators,Total energy export - Coal,%,2016,
172,algeria,energy indicators,Total energy export - Electricity,%,2016,
173,algeria,energy indicators,Total energy import,%,2016,
174,algeria,energy indicators,Total energy import- Crude Oil and Oil Products,ktoe,2016,
175,algeria,energy indicators,Total energy import - Natural Gas,%,2016,
176,algeria,energy indicators,Total energy import - Coal,%,2016,
177,algeria,energy indicators,Total energy import - Electricity,%,2016,
178,algeria,energy indicators,Total primary energy supply (TPES),%,2016,
179,algeria,energy indicators,Primary energy supply per capita,ktoe,2016,
180,algeria,energy indicators,Energy productivity,toe,2016,
181,algeria,energy indicators,Energy subsidies,$/kgoe,2016,
182,algeria,energy indicators,Final energy consumption,$B,2016,
183,algeria,energy indicators,Final energy consumption - Crude Oil and Oil Products,ktoe,2016,
184,algeria,energy indicators,Final energy consumption - Natural Gas,%,2016,
185,algeria,energy indicators,Final energy consumption - Coal,%,2016,
186,algeria,energy indicators,Final energy consumption - Electricity,%,2016,
187,algeria,energy indicators,Final energy consumption - Other,%,2016,
188,algeria,energy indicators,Energy use per capita,%,2016,
189,algeria,energy indicators,Energy use by Sector - Industry,toe,2016,
190,algeria,energy indicators,Energy use by Sector - Transport,%,2016,
191,algeria,energy indicators,Energy use by Sector - Residential,%,2016,
192,algeria,energy indicators,Energy use by Sector - Tertiary,%,2016,
193,algeria,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2016,
194,algeria,energy indicators,Energy use by Sector - Other,%,2016,
195,algeria,energy indicators,Gross energy production,%,2015,
196,algeria,energy indicators,Gross energy production - Crude Oil and Oil Products,ktoe,2015,
197,algeria,energy indicators,Gross energy production - Natural Gas,%,2015,
198,algeria,energy indicators,Gross energy production - Coal,%,2015,
199,algeria,energy indicators,Gross energy production - Nuclear,%,2015,
200,algeria,energy indicators,Gross energy production - Renewables,%,2015,
201,algeria,energy indicators,Gross energy production - Solar,%,2015,
202,algeria,energy indicators,Gross energy production - Wind,%,2015,
203,algeria,energy indicators,Gross energy production - Hydropower,%,2015,
204,algeria,energy indicators,Gross energy production - Other,%,2015,
205,algeria,energy indicators,Total energy export,%,2015,
206,algeria,energy indicators,Total energy export - Crude Oil and Oil Products,ktoe,2015,
207,algeria,energy indicators,Total energy export - Natural Gas,%,2015,
208,algeria,energy indicators,Total energy export - Coal,%,2015,
209,algeria,energy indicators,Total energy export - Electricity,%,2015,
210,algeria,energy indicators,Total energy import,%,2015,
211,algeria,energy indicators,Total energy import- Crude Oil and Oil Products,ktoe,2015,
212,algeria,energy indicators,Total energy import - Natural Gas,%,2015,
213,algeria,energy indicators,Total energy import - Coal,%,2015,
214,algeria,energy indicators,Total energy import - Electricity,%,2015,
215,algeria,energy indicators,Total primary energy supply (TPES),%,2015,
216,algeria,energy indicators,Primary energy supply per capita,ktoe,2015,
217,algeria,energy indicators,Energy productivity,toe,2015,
218,algeria,energy indicators,Energy subsidies,$/kgoe,2015,23.86992164
219,algeria,energy indicators,Final energy consumption,$B,2015,
220,algeria,energy indicators,Final energy consumption - Crude Oil and Oil Products,ktoe,2015,
221,algeria,energy indicators,Final energy consumption - Natural Gas,%,2015,
222,algeria,energy indicators,Final energy consumption - Coal,%,2015,
223,algeria,energy indicators,Final energy consumption - Electricity,%,2015,
224,algeria,energy indicators,Final energy consumption - Other,%,2015,
225,algeria,energy indicators,Energy use per capita,%,2015,
226,algeria,energy indicators,Energy use by Sector - Industry,toe,2015,
227,algeria,energy indicators,Energy use by Sector - Transport,%,2015,
228,algeria,energy indicators,Energy use by Sector - Residential,%,2015,
229,algeria,energy indicators,Energy use by Sector - Tertiary,%,2015,
230,algeria,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2015,
231,algeria,energy indicators,Energy use by Sector - Other,%,2015,
232,algeria,energy indicators,Gross energy production,%,2014,143197.3
233,algeria,energy indicators,Gross energy production - Crude Oil and Oil Products,ktoe,2014,50.96184565
234,algeria,energy indicators,Gross energy production - Natural Gas,%,2014,49.01871404
235,algeria,energy indicators,Gross energy production - Coal,%,2014,0
236,algeria,energy indicators,Gross energy production - Nuclear,%,2014,0
237,algeria,energy indicators,Gross energy production - Renewables,%,2014,0.019440311
238,algeria,energy indicators,Gross energy production - Solar,%,2014,0
239,algeria,energy indicators,Gross energy production - Wind,%,2014,0
240,algeria,energy indicators,Gross energy production - Hydropower,%,2014,0.015254478
241,algeria,energy indicators,Gross energy production - Other,%,2014,0
242,algeria,energy indicators,Total energy export,%,2014,93396.093
243,algeria,energy indicators,Total energy export - Crude Oil and Oil Products,ktoe,2014,59.29711963
244,algeria,energy indicators,Total energy export - Natural Gas,%,2014,40.62212538
245,algeria,energy indicators,Total energy export - Coal,%,2014,0
246,algeria,energy indicators,Total energy export - Electricity,%,2014,0.080754984
247,algeria,energy indicators,Total energy import,%,2014,3651.449
248,algeria,energy indicators,Total energy import- Crude Oil and Oil Products,ktoe,2014,93.6621051
249,algeria,energy indicators,Total energy import - Natural Gas,%,2014,0
250,algeria,energy indicators,Total energy import - Coal,%,2014,4.722180154
251,algeria,energy indicators,Total energy import - Electricity,%,2014,1.615687361
252,algeria,energy indicators,Total primary energy supply (TPES),%,2014,51672.578
253,algeria,energy indicators,Primary energy supply per capita,ktoe,2014,1.327320267
254,algeria,energy indicators,Energy productivity,toe,2014,4.132172387
255,algeria,energy indicators,Energy subsidies,$/kgoe,2014,24.4
256,algeria,energy indicators,Final energy consumption,$B,2014,35019.156
257,algeria,energy indicators,Final energy consumption - Crude Oil and Oil Products,ktoe,2014,51.50428525
258,algeria,energy indicators,Final energy consumption - Natural Gas,%,2014,37.15711766
259,algeria,energy indicators,Final energy consumption - Coal,%,2014,0.085955812
260,algeria,energy indicators,Final energy consumption - Electricity,%,2014,11.23552492
261,algeria,energy indicators,Final energy consumption - Other,%,2014,0.017116346
262,algeria,energy indicators,Energy use per capita,%,2014,0.899541639
263,algeria,energy indicators,Energy use by Sector - Industry,toe,2014,15.53036001
264,algeria,energy indicators,Energy use by Sector - Transport,%,2014,41.49456086
265,algeria,energy indicators,Energy use by Sector - Residential,%,2014,26.41161597
266,algeria,energy indicators,Energy use by Sector - Tertiary,%,2014,0
267,algeria,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2014,0.576370259
268,algeria,energy indicators,Energy use by Sector - Other,%,2014,15.98709289
269,algeria,energy indicators,Gross energy production,%,2013,137669.492
270,algeria,energy indicators,Gross energy production - Crude Oil and Oil Products,ktoe,2013,49.9255899
271,algeria,energy indicators,Gross energy production - Natural Gas,%,2013,50.03787114
272,algeria,energy indicators,Gross energy production - Coal,%,2013,0
273,algeria,energy indicators,Gross energy production - Nuclear,%,2013,0
274,algeria,energy indicators,Gross energy production - Renewables,%,2013,0.036538233
275,algeria,energy indicators,Gross energy production - Solar,%,2013,0
276,algeria,energy indicators,Gross energy production - Wind,%,2013,0
277,algeria,energy indicators,Gross energy production - Hydropower,%,2013,0.020614589
278,algeria,energy indicators,Gross energy production - Other,%,2013,7.26E-07
279,algeria,energy indicators,Total energy export,%,2013,94943.648
280,algeria,energy indicators,Total energy export - Crude Oil and Oil Products,ktoe,2013,57.52375978
281,algeria,energy indicators,Total energy export - Natural Gas,%,2013,42.44145854
282,algeria,energy indicators,Total energy export - Coal,%,2013,0
283,algeria,energy indicators,Total energy export - Electricity,%,2013,0.034782738
284,algeria,energy indicators,Total energy import,%,2013,5754.706
285,algeria,energy indicators,Total energy import- Crude Oil and Oil Products,ktoe,2013,96.39899936
286,algeria,energy indicators,Total energy import - Natural Gas,%,2013,0
287,algeria,energy indicators,Total energy import - Coal,%,2013,3.160144063
288,algeria,energy indicators,Total energy import - Electricity,%,2013,0.440856579
289,algeria,energy indicators,Total primary energy supply (TPES),%,2013,47579.626
290,algeria,energy indicators,Primary energy supply per capita,ktoe,2013,1.245866091
291,algeria,energy indicators,Energy productivity,toe,2013,4.407348641
292,algeria,energy indicators,Energy subsidies,$/kgoe,2013,29.321721
293,algeria,energy indicators,Final energy consumption,$B,2013,31893.52
294,algeria,energy indicators,Final energy consumption - Crude Oil and Oil Products,ktoe,2013,51.88693189
295,algeria,energy indicators,Final energy consumption - Natural Gas,%,2013,36.13809326
296,algeria,energy indicators,Final energy consumption - Coal,%,2013,0.194233813
297,algeria,energy indicators,Final energy consumption - Electricity,%,2013,11.63743607
298,algeria,energy indicators,Final energy consumption - Other,%,2013,0.143304972
299,algeria,energy indicators,Energy use per capita,%,2013,0.83512752
300,algeria,energy indicators,Energy use by Sector - Industry,toe,2013,16.71412563
301,algeria,energy indicators,Energy use by Sector - Transport,%,2013,39.39242831
302,algeria,energy indicators,Energy use by Sector - Residential,%,2013,27.99731105
303,algeria,energy indicators,Energy use by Sector - Tertiary,%,2013,0
304,algeria,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2013,0.389053952
305,algeria,energy indicators,Energy use by Sector - Other,%,2013,15.50708106
306,algeria,energy indicators,Gross energy production,%,2012,143763.68
307,algeria,energy indicators,Gross energy production - Crude Oil and Oil Products,ktoe,2012,49.51517936
308,algeria,energy indicators,Gross energy production - Natural Gas,%,2012,50.43678209
309,algeria,energy indicators,Gross energy production - Coal,%,2012,0
310,algeria,energy indicators,Gross energy production - Nuclear,%,2012,0
311,algeria,energy indicators,Gross energy production - Renewables,%,2012,0.048038559
312,algeria,energy indicators,Gross energy production - Solar,%,2012,0
313,algeria,energy indicators,Gross energy production - Wind,%,2012,0
314,algeria,energy indicators,Gross energy production - Hydropower,%,2012,0.037208285
315,algeria,energy indicators,Gross energy production - Other,%,2012,0
316,algeria,energy indicators,Total energy export,%,2012,102433.231
317,algeria,energy indicators,Total energy export - Crude Oil and Oil Products,ktoe,2012,56.47350028
318,algeria,energy indicators,Total energy export - Natural Gas,%,2012,43.44380194
319,algeria,energy indicators,Total energy export - Coal,%,2012,0
320,algeria,energy indicators,Total energy export - Electricity,%,2012,0.082697772
321,algeria,energy indicators,Total energy import,%,2012,5301.213
322,algeria,energy indicators,Total energy import- Crude Oil and Oil Products,ktoe,2012,93.13253401
323,algeria,energy indicators,Total energy import - Natural Gas,%,2012,0
324,algeria,energy indicators,Total energy import - Coal,%,2012,5.349021064
325,algeria,energy indicators,Total energy import - Electricity,%,2012,1.518444929
326,algeria,energy indicators,Total primary energy supply (TPES),%,2012,45965.262
327,algeria,energy indicators,Primary energy supply per capita,ktoe,2012,1.227704647
328,algeria,energy indicators,Energy productivity,toe,2012,4.547129526
329,algeria,energy indicators,Energy subsidies,$/kgoe,2012,
330,algeria,energy indicators,Final energy consumption,$B,2012,30492.48
331,algeria,energy indicators,Final energy consumption - Crude Oil and Oil Products,ktoe,2012,51.77259442
332,algeria,energy indicators,Final energy consumption - Natural Gas,%,2012,36.39245807
333,algeria,energy indicators,Final energy consumption - Coal,%,2012,0.283276401
334,algeria,energy indicators,Final energy consumption - Electricity,%,2012,11.50061261
335,algeria,energy indicators,Final energy consumption - Other,%,2012,0.05105849
336,algeria,energy indicators,Energy use per capita,%,2012,0.814435897
337,algeria,energy indicators,Energy use by Sector - Industry,toe,2012,17.09678911
338,algeria,energy indicators,Energy use by Sector - Transport,%,2012,39.77257343
339,algeria,energy indicators,Energy use by Sector - Residential,%,2012,26.88825901
340,algeria,energy indicators,Energy use by Sector - Tertiary,%,2012,0.020650993
341,algeria,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2012,0.536407665
342,algeria,energy indicators,Energy use by Sector - Other,%,2012,15.68531979
343,algeria,energy indicators,Gross energy production,%,2011,145832.565
344,algeria,energy indicators,Gross energy production - Crude Oil and Oil Products,ktoe,2011,52.2500554
345,algeria,energy indicators,Gross energy production - Natural Gas,%,2011,47.70930416
346,algeria,energy indicators,Gross energy production - Coal,%,2011,0
347,algeria,energy indicators,Gross energy production - Nuclear,%,2011,0
348,algeria,energy indicators,Gross energy production - Renewables,%,2011,0.040640443
349,algeria,energy indicators,Gross energy production - Solar,%,2011,0
350,algeria,energy indicators,Gross energy production - Wind,%,2011,0
351,algeria,energy indicators,Gross energy production - Hydropower,%,2011,0.029603813
352,algeria,energy indicators,Gross energy production - Other,%,2011,0
353,algeria,energy indicators,Total energy export,%,2011,105981.927
354,algeria,energy indicators,Total energy export - Crude Oil and Oil Products,ktoe,2011,57.66651327
355,algeria,energy indicators,Total energy export - Natural Gas,%,2011,42.2686502
356,algeria,energy indicators,Total energy export - Coal,%,2011,0
357,algeria,energy indicators,Total energy export - Electricity,%,2011,0.064835583
358,algeria,energy indicators,Total energy import,%,2011,2718.044
359,algeria,energy indicators,Total energy import- Crude Oil and Oil Products,ktoe,2011,87.06735432
360,algeria,energy indicators,Total energy import - Natural Gas,%,2011,0
361,algeria,energy indicators,Total energy import - Coal,%,2011,10.85387139
362,algeria,energy indicators,Total energy import - Electricity,%,2011,2.078774295
363,algeria,energy indicators,Total primary energy supply (TPES),%,2011,41817.609
364,algeria,energy indicators,Primary energy supply per capita,ktoe,2011,1.138823775
365,algeria,energy indicators,Energy productivity,toe,2011,4.767847918
366,algeria,energy indicators,Energy subsidies,$/kgoe,2011,
367,algeria,energy indicators,Final energy consumption,$B,2011,27645.387
368,algeria,energy indicators,Final energy consumption - Crude Oil and Oil Products,ktoe,2011,52.99916764
369,algeria,energy indicators,Final energy consumption - Natural Gas,%,2011,35.45866441
370,algeria,energy indicators,Final energy consumption - Coal,%,2011,0.326347394
371,algeria,energy indicators,Final energy consumption - Electricity,%,2011,11.15760109
372,algeria,energy indicators,Final energy consumption - Other,%,2011,0.058219478
373,algeria,energy indicators,Energy use per capita,%,2011,0.752870016
374,algeria,energy indicators,Energy use by Sector - Industry,toe,2011,19.47246027
375,algeria,energy indicators,Energy use by Sector - Transport,%,2011,39.82976256
376,algeria,energy indicators,Energy use by Sector - Residential,%,2011,25.75769694
377,algeria,energy indicators,Energy use by Sector - Tertiary,%,2011,0.019511393
378,algeria,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2011,0.566499575
379,algeria,energy indicators,Energy use by Sector - Other,%,2011,14.35406927
380,algeria,energy indicators,Gross energy production,%,2010,150510.895
381,algeria,energy indicators,Gross energy production - Crude Oil and Oil Products,ktoe,2010,52.15272223
382,algeria,energy indicators,Gross energy production - Natural Gas,%,2010,47.80292217
383,algeria,energy indicators,Gross energy production - Coal,%,2010,0
384,algeria,energy indicators,Gross energy production - Nuclear,%,2010,0
385,algeria,energy indicators,Gross energy production - Renewables,%,2010,0.044355593
386,algeria,energy indicators,Gross energy production - Solar,%,2010,0
387,algeria,energy indicators,Gross energy production - Wind,%,2010,0
388,algeria,energy indicators,Gross energy production - Hydropower,%,2010,0.009942137
389,algeria,energy indicators,Gross energy production - Other,%,2010,0
390,algeria,energy indicators,Total energy export,%,2010,111100.497
391,algeria,energy indicators,Total energy export - Crude Oil and Oil Products,ktoe,2010,56.1621727
392,algeria,energy indicators,Total energy export - Natural Gas,%,2010,43.77566916
393,algeria,energy indicators,Total energy export - Coal,%,2010,0
394,algeria,energy indicators,Total energy export - Electricity,%,2010,0.062158138
395,algeria,energy indicators,Total energy import,%,2010,1694.684
396,algeria,energy indicators,Total energy import- Crude Oil and Oil Products,ktoe,2010,76.35305461
397,algeria,energy indicators,Total energy import - Natural Gas,%,2010,0
398,algeria,energy indicators,Total energy import - Coal,%,2010,19.9120308
399,algeria,energy indicators,Total energy import - Electricity,%,2010,3.7349736
400,algeria,energy indicators,Total primary energy supply (TPES),%,2010,40086.693
401,algeria,energy indicators,Primary energy supply per capita,ktoe,2010,1.11228338
402,algeria,energy indicators,Energy productivity,toe,2010,4.021534029
403,algeria,energy indicators,Energy subsidies,$/kgoe,2010,
404,algeria,energy indicators,Final energy consumption,$B,2010,26518.964
405,algeria,energy indicators,Final energy consumption - Crude Oil and Oil Products,ktoe,2010,54.16153135
406,algeria,energy indicators,Final energy consumption - Natural Gas,%,2010,34.35511659
407,algeria,energy indicators,Final energy consumption - Coal,%,2010,0.433840477
408,algeria,energy indicators,Final energy consumption - Electricity,%,2010,10.85419476
409,algeria,energy indicators,Final energy consumption - Other,%,2010,0.195316831
410,algeria,energy indicators,Energy use per capita,%,2010,0.735820311
411,algeria,energy indicators,Energy use by Sector - Industry,toe,2010,19.74074477
412,algeria,energy indicators,Energy use by Sector - Transport,%,2010,40.21624676
413,algeria,energy indicators,Energy use by Sector - Residential,%,2010,24.41764316
414,algeria,energy indicators,Energy use by Sector - Tertiary,%,2010,0.017990899
415,algeria,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2010,0.550896332
416,algeria,energy indicators,Energy use by Sector - Other,%,2010,15.05647807
417,algeria,oil indicators,Oil production,%,2017,
418,algeria,oil indicators,Oil reserves,kbl/day,2017,12
419,algeria,oil indicators,Oil reserve to production ratio,Gbl,2017,
420,algeria,oil indicators,Fiscal breakeven oil price,years,2017,64.73554949
421,algeria,oil indicators,External breakeven oil price,$/bl,2017,74.45597469
422,algeria,oil indicators,Oil Imports,$/bl,2017,
423,algeria,oil indicators,Oil exports,kbl,2017,
424,algeria,oil indicators,Oil rents (% of GDP),kbl,2017,
425,algeria,oil indicators,Oil production,%,2016,
426,algeria,oil indicators,Oil reserves,kbl/day,2016,12
427,algeria,oil indicators,Oil reserve to production ratio,Gbl,2016,
428,algeria,oil indicators,Fiscal breakeven oil price,years,2016,92.97740591
429,algeria,oil indicators,External breakeven oil price,$/bl,2016,73.34483769
430,algeria,oil indicators,Oil Imports,$/bl,2016,
431,algeria,oil indicators,Oil exports,kbl,2016,
